Updated 04/25/25 at 12:07am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Mason Taylor,TE51,TE,FA,1359,-1.0,Yes,TE51,1195,,0
Olamide Zaccheaus,WR131,WR,CHI,1358,27.8,No,WR134,1121,,0
Spencer Rattler,QB41,QB,NOS,1357,24.6,No,QB39,1903,,0
Jared Wiley,TE52,TE,KCC,1341,24.5,No,TE53,1156,,0
Miles Sanders,RB92,RB,DAL,1331,28.0,No,RB91,1161,,0
Noah Brown,WR132,WR,WAS,1317,29.3,No,WR129,1234,,0
Greg Dulcich,TE53,TE,NYG,1314,25.1,No,TE54,1143,,0
Ty Chandler,RB93,RB,MIN,1309,27.0,No,RB92,1126,,0
Grant Calcaterra,TE54,TE,PHI,1303,26.4,No,TE52,1173,,0
Bo Melton,WR133,WR,GBP,1288,25.9,No,WR133,1125.99,,0
